1,-0.043,9.7
2,4.783,9.7
3,8.261,9.7
4,6.696,9.7
5,9.391,9.7
6,8.13,9.7
7,10.435,9.7
8,8.261,9.7
9,10.522,9.7
10,7.957,9.7
11,10.304,9.7
12,8.609,9.7
13,11.826,9.7
14,7.739,9.7
15,11.522,9.7
16,8.13,9.7
17,10.87,9.7
18,7.652,9.7
19,11.087,9.7
20,8.304,9.7
21,10.739,9.7
22,9.0,9.7
23,10.174,9.7
24,9.348,9.7
25,9.435,9.7
26,10.261,9.7
27,9.217,9.7
28,11.087,9.7
29,8.261,9.7
30,11.87,9.7
31,7.652,9.7
32,11.696,9.7
33,7.217,9.7
34,11.87,9.7
35,7.826,9.7
36,11.043,9.7
37,8.913,9.7
38,10.348,9.7
39,9.348,9.7
40,9.174,9.7
41,11.0,9.7
42,8.261,9.7
43,12.348,9.7
44,7.913,9.7
45,11.826,9.7
46,7.522,9.7
47,11.478,9.7
48,7.435,9.7
49,11.391,9.7
50,8.174,9.7
51,10.565,9.7
52,9.13,9.7
53,9.913,9.7
54,10.261,9.7
55,8.435,9.7
56,11.435,9.7
57,8.043,9.7
58,11.913,9.7
59,7.783,9.7
60,12.043,9.7
61,7.522,9.7
62,11.391,9.7
63,7.652,9.7
64,10.913,9.7
65,8.913,9.7
66,11.261,9.7
67,9.87,9.7
68,7.913,9.7
69,11.652,9.7
70,7.087,9.7
71,12.174,9.7
72,7.609,9.7
73,11.87,9.7
74,7.87,9.7
75,11.783,9.7
76,7.87,9.7
77,10.478,9.7
78,8.565,9.7
79,10.304,9.7
80,9.391,9.7
81,9.391,9.7
82,11.043,9.7
83,8.261,9.7
84,11.565,9.7
85,7.348,9.7
86,12.304,9.7
87,7.522,9.7
88,11.739,9.7
89,7.826,9.7
90,11.783,9.7
91,8.087,9.7
92,10.478,9.7
93,8.609,9.7
94,10.348,9.7
95,9.087,9.7
96,10.913,9.7
97,9.348,9.7
98,9.174,9.7
